Index,Lieferant,LiefArtNr,LiefFarbe,EigeneFarbBez,Wgrp,Groesse,Mwst,Preis,Lagerbestand,Saison,
2011111111323,Sonia by Sonia Rykiel,13E88251248-AC,001,schwarz,S,Da Rock kurz,19,195.00,0,131,
2011111111736,Sonia by Sonia Rykiel,13E88433201-16,152,gemustert,36,Da Rock kurz,19,320.00,0,131,
2011111111743,Sonia by Sonia Rykiel,13E88433201-16,152,gemustert,38,Da Rock kurz,19,320.00,0,131,
2011111111750,Sonia by Sonia Rykiel,13E88433201-16,152,gemustert,40,Da Rock kurz,19,320.00,0,131,
2011111111767,Sonia by Sonia Rykiel,13E88433201-16,152,gemustert,42,Da Rock kurz,19,320.00,0,131,
2011111111941,Sonia by Sonia Rykiel,13E88635251-23,004,gemustert,L,Da Rock kurz,19,160.00,0,131,
2011111111934,Sonia by Sonia Rykiel,13E88635251-23,004,gemustert,M,Da Rock kurz,19,160.00,0,131,
2011111111927,Sonia by Sonia Rykiel,13E88635251-23,004,gemustert,S,Da Rock kurz,19,160.00,0,131,
2011111177954,Sonia by Sonia Rykiel,81251228-NI,727 CARDINAL/NAVY,blau,L,Da Rock kurz,19,319.00,1,142,
2011111177947,Sonia by Sonia Rykiel,81251228-NI,727 CARDINAL/NAVY,blau,M,Da Rock kurz,19,319.00,1,142,
2011111177930,Sonia by Sonia Rykiel,81251228-NI,727 CARDINAL/NAVY,blau,S,Da Rock kurz,19,319.00,1,142,
2011111161922,Sonia by Sonia Rykiel,81446210-10,BLACK -001,schwarz,36,Da Rock kurz,19,239.00,0,141,
2011111161939,Sonia by Sonia Rykiel,81446210-10,BLACK -001,schwarz,38,Da Rock kurz,19,239.00,1,141,
2011111161946,Sonia by Sonia Rykiel,81446210-10,BLACK -001,schwarz,40,Da Rock kurz,19,239.00,1,141,
2011111161731,Sonia by Sonia Rykiel,81760226-DA,BLACK -001,schwarz,L,Da Rock kurz,19,345.00,0,141,
2011111161724,Sonia by Sonia Rykiel,81760226-DA,BLACK -001,schwarz,M,Da Rock kurz,19,345.00,0,141,
2011111161717,Sonia by Sonia Rykiel,81760226-DA,BLACK -001,schwarz,S,Da Rock kurz,19,345.00,0,141,
2011111136302,Sonia by Sonia Rykiel,89251231 - BH,001 Noir,schwarz,L,Da Rock kurz,19,199.00,0,133,
2011111136296,Sonia by Sonia Rykiel,89251231 - BH,001 Noir,schwarz,M,Da Rock kurz,19,199.00,0,133,
2011111136289,Sonia by Sonia Rykiel,89251231 - BH,001 Noir,schwarz,S,Da Rock kurz,19,199.00,1,133,
2011111136319,Sonia by Sonia Rykiel,89251231 - BH,001 Noir,schwarz,XL,Da Rock kurz,19,199.00,1,133,
2011111136739,Sonia by Sonia Rykiel,89445208 - 36,001 NOIR,schwarz,38,Da Rock kurz,19,229.00,1,133,
2011111136746,Sonia by Sonia Rykiel,89445208 - 36,001 NOIR,schwarz,40,Da Rock kurz,19,229.00,0,133,
2011111136753,Sonia by Sonia Rykiel,89445208 - 36,001 NOIR,schwarz,42,Da Rock kurz,19,229.00,0,133,
2011111136760,Sonia by Sonia Rykiel,89445208 - 36,001 NOIR,schwarz,44,Da Rock kurz,19,229.00,0,133,
2011111136579,Sonia by Sonia Rykiel,89225109 - 48,001 Noir,schwarz,38,Da Blazer,19,389.00,0,133,
2011111136586,Sonia by Sonia Rykiel,89225109 - 48,001 Noir,schwarz,40,Da Blazer,19,389.00,0,133,
2011111136593,Sonia by Sonia Rykiel,89225109 - 48,001 Noir,schwarz,42,Da Blazer,19,389.00,0,133,
2011111136630,Sonia by Sonia Rykiel,89230107 - 47,471 GRIS CHINE,grau,38,Da Blazer,19,399.00,0,133,
2011111136647,Sonia by Sonia Rykiel,89230107 - 47,471 GRIS CHINE,grau,40,Da Blazer,19,399.00,0,133,
2011111136654,Sonia by Sonia Rykiel,89230107 - 47,471 GRIS CHINE,grau,42,Da Blazer,19,399.00,1,133,
2011111136661,Sonia by Sonia Rykiel,89230502 - 47,471 GRIS CHINE,grau,40,Da Blazer,19,509.00,0,133,
2011111136678,Sonia by Sonia Rykiel,89230502 - 47,471 GRIS CHINE,grau,42,Da Blazer,19,509.00,1,133,
2011111136685,Sonia by Sonia Rykiel,89230502 - 47,471 GRIS CHINE,grau,44,Da Blazer,19,509.00,1,133,
2011111136456,Sonia by Sonia Rykiel,89251553 - BD,001 Noir,schwarz,L,Da Blazer,19,319.00,0,133,
2011111136449,Sonia by Sonia Rykiel,89251553 - BD,001 Noir,schwarz,M,Da Blazer,19,319.00,0,133,
2011111136432,Sonia by Sonia Rykiel,89251553 - BD,001 Noir,schwarz,S,Da Blazer,19,319.00,1,133,
2011111111958,Sonia by Sonia Rykiel,13E88943550-19,155,gemustert,38,Da Jacke Pop,19,270.00,0,131,
2011111111965,Sonia by Sonia Rykiel,13E88943550-19,155,gemustert,40,Da Jacke Pop,19,270.00,0,131,
2011111111972,Sonia by Sonia Rykiel,13E88943550-19,155,gemustert,42,Da Jacke Pop,19,270.00,0,131,
2011111178081,Sonia by Sonia Rykiel,81129224-14D,110 OPTIC,weiß,36,Da Jacke Pop,19,329.00,0,142,
2011111178098,Sonia by Sonia Rykiel,81129224-14D,110 OPTIC,weiß,38,Da Jacke Pop,19,329.00,0,142,
